title,cast,director,overview,runtime,userRating
Wall Street,Charlie Sheen|Michael Douglas|Martin Sheen|Daryl Hannah|John C. McGinley,Oliver Stone,A young and impatient stockbroker is willing to do anything to get to the top including trading on illegal inside information taken through a ruthless and greedy corporate raider whom takes the youth under his wing.,126,6.7
West Side Story,Natalie Wood|Richard Beymer|Russ Tamblyn|Rita Moreno|George Chakiris,Jerome Robbins|Robert Wise,"In the slums of the upper West Side of Manhattan New York a gang of Polish-American teenagers called the Jets compete with a rival gang of recently immigrated Puerto Ricans the Sharks to ""own"" the neighborhood streets. Tensions are high between the gangs but two kids one from each rival gang fall in love leading to tragedy.",152,6.6
Welcome Home Roscoe Jenkins,Martin Lawrence|James Earl Jones|Margaret Avery|Joy Bryant|Cedric the Entertainer,Malcolm D. Lee,"Martin Lawrence leads an all-star cast including Cedric the Entertainer Mo'Nique and Mike Epps in the hit comedy ""Welcome Home Roscoe Jenkins."" When a celebrated TV show host (Lawrence) returns to his hometown in the South his family is there to remind him that going home is no vacation! It's one outrageous predicament after another when big-city attitude and small-town values collide in this hysterical comedy critics are praising for its ""over-the-top hilarity!"" (Roger Moore Orlando Sentinel).",114,6.1
Police Academy 3: Back in Training,Steve Guttenberg|Bubba Smith|David Graf|Michael Winslow|Bobcat Goldthwait,Jerry Paris,When police funding is cut the Governor announces he must close one of the academies. To make it fair the two police academies must compete against each other to stay in operation. Mauser persuades two officers in Lassard's academy to better his odds but things don't quite turn out as expected...,83,5.4
We Are Marshall,Matthew McConaughey|Matthew Fox|Anthony Mackie|David Strathairn|Ian McShane,McG,When a plane crash claims the lives of members of the Marshall University football team and some of its fans the team's new coach and his surviving players try to keep the football program alive.,124,6.5
The DUFF,Mae Whitman|Robbie Amell|Bella Thorne|Bianca A. Santos|Skyler Samuels,Ari Sandel,Bianca's universe turns upside down when she learns that her high school refers to her as a Ì¢‰âÂèÏDUFF' (Designated Ugly Fat Friend). Hoping to erase that label she enlists the help of a charming jock and her favorite teacher. Together they'll face the school's mean girl and remind everyone that we are all someone's DUFFÌ¢‰âÂå_ and that's totally fine.,100,6.8
Harold & Kumar Escape from Guantanamo Bay,John Cho|Kal Penn|Neil Patrick Harris|Rob Corddry|Jack Conley,Jon Hurwitz|Hayden Schlossberg,Having satisfied their urge for White Castle Harold and Kumar jump on a plane to catch up with Harold's love interest who's headed for the Netherlands. But the pair must change their plans when Kumar is accused of being a terrorist. Rob Corddry also stars in this wild comedy sequel that follows the hapless stoners' misadventures as they try to avoid being captured by the Department of Homeland Security.,107,6
The Great Outdoors,John Candy|Dan Aykroyd|Annette Bening|Stephanie Faracy|Chris Young,Howard Deutch,It's vacation time for outdoorsy Chicago man Chet Ripley along with his wife Connie and their two kids Buck and Ben. But a serene weekend of fishing at a Wisconsin lakeside cabin gets crashed by Connie's obnoxious brother-in-law Roman Craig his wife Kate and the couple's two daughters. As the excursion wears on the Ripleys find themselves at odds with the stuffy Craig family.,91,6.2
A River Runs Through It,Brad Pitt|Craig Sheffer|Tom Skerritt|Brenda Blethyn|Edie McClurg,Robert Redford,A River Runs Through is a cinematographically stunning true story of Norman Maclean. The story follows Norman and his brother Paul through the experiences of life and growing up and how their love of fly fishing keeps them together despite varying life circumstances in the untamed west of Montana in the 1920's.,123,6.7
Brothers,Tobey Maguire|Jake Gyllenhaal|Natalie Portman|Sam Shepard|Mare Winningham,Jim Sheridan,When his helicopter goes down during his fourth tour of duty in Afghanistan Marine Sam Cahill (Tobey Maguire) is presumed dead. Back home brother Tommy (Jake Gyllenhaal) steps in to look over SamÌ¢‰âÂ‰ã¢s wife Grace (Natalie Portman) and two children. SamÌ¢‰âÂ‰ã¢s surprise homecoming triggers domestic mayhem.,104,6.7
The Edge,Alec Baldwin|Anthony Hopkins|Elle Macpherson|Harold Perrineau|L.Q. Jones,Lee Tamahori,The plane carrying wealthy Charles Morse crashes down in the Alaskan wilderness. Together with the two other passengers photographer Robert and assistant Stephen Charles devises a plan to help them reach civilization. However his biggest obstacle might not be the elements or even the Kodiak bear stalking them -- it could be Robert whom Charles suspects is having an affair with his wife and would not mind seeing him dead.,117,6.5
Beastly,Alex Pettyfer|Vanessa Hudgens|Mary-Kate Olsen|Lisa Gay Hamilton|Neil Patrick Harris,Daniel Barnz,A curse transforms a handsome and arrogant young man into everything he detests in this contemporary retelling of Beauty and the Beast. Wealthy Kyle Kingson has everything a teenager could want in life but he still gets off on humiliating the weaker and less attractive. When Kyle invites his misfit classmate Kendra to an environmental rally at their school she questions his motivations but reluctantly accepts. Later Kyle blows Kendra off prompting the spurned goth girl to cast a dark spell on the swaggering egotist.,86,6
Boogie Nights,Mark Wahlberg|Burt Reynolds|John C. Reilly|Julianne Moore|Thomas Jane,Paul Thomas Anderson,"Set in 1977 back when sex was safe pleasure was a business and business was booming idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams a hot young talent working as a busboy in a nightclub and welcomes him into the extended family of movie-makers misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric and soon the whole world seems to know his porn alter ego ""Dirk Diggler"". Now when disco and drugs are in vogue fashion is in flux and the party never seems to stop Adams' dreams of turning sex into stardom are about to collide with cold hard reality.",155,7.3
Reign of Fire,Christian Bale|Matthew McConaughey|Izabella Scorupco|Gerard Butler|Alexander Siddig,Rob Bowman,In post-apocalyptic England an American volunteer and a British survivor team up to fight off a brood of fire-breathing dragons seeking to return to global dominance after centuries of rest underground. The Brit -- leading a clan of survivors to hunt down the King of the Dragons -- has much at stake: His mother was killed by a dragon but his love is still alive.,101,5.9
Homefront,Jason Statham|James Franco|Izabela Vidovic|Winona Ryder|Rachelle Lefevre,Gary Fleder,Phil Broker is a former DEA agent who has gone through a crisis after his action against a biker gang went horribly wrong and it cost the life of his boss' son. He is recently widowed and is left with a 9-years-old daughterMaddy. He decides to quit the turbulent and demanding life of thrill for Maddy's sake and retires to a small town. His daughter fights off a boy who was bullying her at school and this sets in motion a round of events that end in his direct confrontation with the local Meth drug lord. His past history with the biker gang also enters the arena making matters more complex. But he has a mission in his mind to protect his daughter and he is ready to pay any cost that it demands.,100,6.4
Notorious,Jamal Woolard|Derek Luke|Naturi Naughton|Antonique Smith|Angela Bassett,George Tillman Jr.,"NOTORIOUS is the story of Christopher Wallace. Through raw talent and sheer determination Wallace transforms himself from Brooklyn street hustler (once selling crack to pregnant women) to one of the greatest rappers of all time; THE NOTORIOUS B.I.G. Follow his meteoric rise to fame and his refusal to succumb to expectations - redefining our notion of ""The American Dream.""",122,6.6
The Longest Yard,Burt Reynolds|Eddie Albert|Ed Lauter|Bernadette Peters|Michael Conrad,Robert Aldrich,In this rough-and-tumble yarn actually filmed on-location at the Georgia State Prision the cons are the heroes and the guards are the heavies. Eddie Albert is the sadistic warden who'll gladly make any sacrifice to push his guards' semi-pro football team to a national championship.,121,6.2
Escape from Alcatraz,Clint Eastwood|Patrick McGoohan|Roberts Blossom|Jack Thibeau|Fred Ward,Don Siegel,"Escape from Alcatraz tells the story of the only three men ever to escape from the infamous maximum security prison at Alcatraz. In 29 years the seemingly impenetrable federal penitentiary which housed Al Capone and ""Birdman"" Robert Stroud was only broken once - by three men never heard of again.",111,7.1
Legend,Tom Hardy|Emily Browning|Christopher Eccleston|David Thewlis|Taron Egerton,Brian Helgeland,"Suave charming and volatile Reggie Kray and his unstable twin brother Ronnie start to leave their mark on the London underworld in the 1960s. Using violence to get what they want the siblings orchestrate robberies and murders while running nightclubs and protection rackets. With police Detective Leonard ""Nipper"" Read hot on their heels the brothers continue their rapid rise to power and achieve tabloid notoriety.",131,6.7
Crank,Jason Statham|Amy Smart|Jose Pablo Cantillo|Efren Ramirez|Dwight Yoakam,Brian Taylor|Mark Neveldine,Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.,88,6.5
Snitch,Dwayne Johnson|Barry Pepper|Jon Bernthal|Susan Sarandon|Michael Kenneth Williams,Ric Roman Waugh,Construction company owner John Matthews learns that his estranged son Jason has been arrested for drug trafficking. Facing an unjust prison sentence for a first time offender courtesy of mandatory minimum sentence laws Jason has nothing to offer for leniency in good conscience. Desperately John convinces the DEA and the opportunistic DA Joanne Keeghan to let him go undercover to help make arrests big enough to free his son in return. With the unwitting help of an ex-con employee John enters the narcotics underworld where every move could be his last in an operation that will demand all his resources wits and courage to survive.,112,5.7
A Lot Like Love,Ashton Kutcher|Amanda Peet|Aimee Garcia|Taryn Manning|Ali Larter,Nigel Cole,On a flight from Los Angeles to New York Oliver and Emily make a connection only to decide that they are poorly suited to be together. Over the next seven years however they are reunited time and time again they go from being acquaintances to close friends to ... lovers?,107,6.5
Basic,John Travolta|Connie Nielsen|Samuel L. Jackson|Giovanni Ribisi|Tim Daly,John McTiernan,A DEA agent investigates the disappearance of a legendary Army ranger drill sergeant and several of his cadets during a training exercise gone severely awry.,98,6
Heartbreak Ridge,Clint Eastwood|Marsha Mason|Everett McGill|Moses Gunn|Mario Van Peebles,Clint Eastwood,A hard-nosed hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.,130,6.5
Mannequin,Andrew McCarthy|Kim Cattrall|Estelle Getty|James Spader|G. W. Bailey,Michael Gottlieb,Jonathan Switcher an unemployed artist finds a job as an assistant window dresser for a department store. When Jonathan happens upon a beautiful mannequin he previously designed she springs to life and introduces herself as Emmy an Egyptian under an ancient spell. Despite interference from the store's devious manager Jonathan and his mannequin fall in love while creating eye-catching window displays to keep the struggling store in business.,89,5.6
The Gallows,Cassidy Gifford|Ryan Shoos|Pfeifer Brown|Reese Mishler|Price T. Morgan,Travis Cluff|Chris Lofing,20 years after a horrific accident during a small town school play students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone.,87,5
Glory Road,Josh Lucas|Derek Luke|Jon Voight|Austin Nichols|Evan Jones,James Gartner,In 1966 Texas Western coach Don Haskins led the first all-black starting line-up for a college basketball team to the NCAA national championship.,118,7.1
The Age of Adaline,Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker,Lee Toland Krieger,After 29-year-old Adaline recovers from a nearly lethal accident she inexplicably stops growing older. As the years stretch on and on Adaline keeps her secret to herself  until she meets a man who changes her life.,112,7.3
Bangkok Dangerous,Nicolas Cage|Shahkrit Yamnarm|Charlie Yeung|Panward Hemmanee|Nirattisai Kaljaruek,Oxide Pang Chun|Danny Pang,When carrying out a hit assassin Joe (Cage) always makes use of the knowledge of the local population. On arriving in Bangkok Joe meets street kid Kong and he becomes his primary aide. But when Kong is nearly killed he asks Joe to train him up in the deadly arts and unwittingly becomes a target of a band of killers.,99,5
Mask,Cher|Sam Elliott|Eric Stoltz|Estelle Getty|Laura Dern,Peter Bogdanovich,A boy with a massive facial skull deformity and biker gang mother attempts to live as normal a life as possible under the circumstances.,120,7.1
Time Bandits,John Cleese|Sean Connery|Shelley Duvall|Katherine Helmond|Ian Holm,Terry Gilliam,A boy escapes from his gadget-obsessed parents to join a band of time-traveling dwarves and meets Napoleon Robin Hood King Agamemnon and other famous figures.,116,6.1
The Fourth Kind,Milla Jovovich|Will Patton|Hakeem Kae-Kazim|Corey Johnson|Enzo Cilenti,Olatunde Osunsanmi,Since the 1960s a disproportionate number of the population in and around Nome Alaska have gone missing. Despite FBI investigations the disappearances remain a mystery. Dr. Abigail Tyler a psychologist may be on the verge of blowing the unsolved cases wide open when during the course of treating her patients she finds evidence of alien abductions.,98,5.6
Blue Thunder,Roy Scheider|Warren Oates|Candy Clark|Daniel Stern|Paul Roebling,John Badham,"Officer Frank Murphy an experienced LAPD helicopter pilot is given command of the advanced new ""Blue Thunder"" chopper. But he begins to wonder why the LAPD would need a helicopter so powerful and why it is such a secret.",109,5.8
Bullitt,Steve McQueen|Jacqueline Bisset|Robert Vaughn|Don Gordon|Simon Oakland,Peter Yates,Senator Walter Chalmers is aiming to take down mob boss Pete Ross with the help of testimony from the criminal's hothead brother Johnny who is in protective custody in San Francisco under the watch of police lieutenant Frank Bullitt. When a pair of mob hitmen enter the scene Bullitt follows their trail through a maze of complications and double-crosses. This thriller includes one of the most famous car chases ever filmed.,113,6.7
Lady in the Water,Paul Giamatti|Jeffrey Wright|Bob Balaban|Sarita Choudhury|Cindy Cheung,M. Night Shyamalan,Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world.,110,5.2
Escape from L.A.,Kurt Russell|Stacy Keach|Steve Buscemi|Pam Grier|Cliff Robertson,John Carpenter,This time a cataclysmic temblor hits Los Angeles turning it into an island. The president views the quake as a sign from above expels Los Angeles from the country and makes it a penal colony for those found guilty of moral crimes. When his daughter part of a resistance movement steals the control unit for a doomsday weapon Snake again gets tapped to save the day.,97,5.4
White Nights,Mikhail Baryshnikov|Gregory Hines|Jerzy Skolimowski|Helen Mirren|Geraldine Page,Taylor Hackford,An expatriate Russian dancer is on a plane forced to land on Soviet territory. He is taken to an apartment in which a black American who has married a Russian woman lives with her. He is to become a dancer for the Bolshoi again but he wishes to escape but can he trust the American?,136,5.8
Zack and Miri Make a Porno,Seth Rogen|Elizabeth Banks|Jennifer Schwalbach Smith|Jason Mewes|Gerry Bednob,Kevin Smith,Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll however the duo begin to sense that they may have more feelings for each other than they previously thought.,102,6
Oliver Twist,Barney Clark|Ben Kingsley|Jamie Foreman|Harry Eden|Edward Hardwicke,Roman Polanski,Oliver Twist the modern filmed version of Charles Dickens bestseller a Roman Polanski adaptation. The classic Dickens tale where an orphan meets a pickpocket on the streets of London. From there he joins a household of boys who are trained to steal for their master.,130,6.6
A Good Year,Russell Crowe|Marion Cotillard|Albert Finney|Tom Hollander|Abbie Cornish,Ridley Scott,Failed London banker Max Skinner inherits his uncle's vineyard in Provence where he spent many childhood holidays. Upon his arrival he meets a woman from California who tells Max she is his long-lost cousin and that the property is hers.,118,6.4
Going the Distance,Drew Barrymore|Justin Long|Christina Applegate|Ron Livingston|Charlie Day,Nanette Burstein,Erin and Garrett are very much in love. When Erin moves to San Francisco to finish her journalism degree and Garrett stays behind in New York to work in the music industry they gamely keep the romance alive with webcams and frequent-flyer miles. But just when it seems the lovers will soon be reunited they each score a big break that could separate them for good.,102,6
Dirty Rotten Scoundrels,Steve Martin|Michael Caine|Glenne Headly|Anton Rodgers|Barbara Harris,Frank Oz,Two con men try to settle their rivalry by betting on who can swindle a young American heiress out of $50000 first.,110,6.7
The Hurt Locker,Jeremy Renner|Anthony Mackie|Brian Geraghty|Guy Pearce|Ralph Fiennes,Kathryn Bigelow,Forced to play a dangerous game of cat-and-mouse in the chaos of war an elite Army bomb squad unit must come together in a city where everyone is a potential enemy and every object could be a deadly bomb.,131,7.2
Doctor Who,Paul McGann|Eric Roberts|Daphne Ashbrook|Sylvester McCoy|Yee Jee Tso,Geoffrey Sax,The Seventh Doctor becomes the Eighth. And on the streets of San Francisco Ì¢‰âÂ‰ÛÏ alongside new ally Grace Holloway - he battles the Master.,89,5.6
Donnie Brasco,Johnny Depp|Al Pacino|Michael Madsen|Bruno Kirby|James Russo,Mike Newell,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,127,7.2
Meet the Browns,Tyler Perry|David Mann|Tamela Mann|Angela Bassett|Lance Gross,Tyler Perry,"A single mother living in inner city Chicago Brenda has been struggling for years to make ends meet and keep her three kids off the street.But when she's laid off with no warning she starts losing hope for the first time - until a letter arrives announcing the death of a father she's never met.Desperate for any kind of help Brenda takes her family to Georgia for the funeral. But nothing could have prepared her for the Browns her father's fun-loving crass Southern clan. In a small-town world full of long afternoons and country fairs Brenda struggles to get to know the family she never knew existed...and finds a brand new romance that just might change her life.The story is adapted by Tyler Perry from his stage play ""Meet the Browns."" Perry will portray Madea and Uncle Joe in the film.",100,6.4
The Fisher King,Jeff Bridges|Robin Williams|Mercedes Ruehl|Amanda Plummer|Michael Jeter,Terry Gilliam,Two troubled men face their terrible destinies and events of their past as they join together on a mission to find the Holy Grail and thus to save themselves.,137,6.8
The Guilt Trip,Seth Rogen|Barbra Streisand|Yvonne Strahovski|Colin Hanks|Adam Scott,Anne Fletcher,An inventor and his mom hit the road together so he can sell his latest invention.,95,5.3
The Return of the Pink Panther,Peter Sellers|Christopher Plummer|Herbert Lom|Catherine Schell|Peter Arne,Blake Edwards,The famous Pink Panther jewel has once again been stolen and Inspector Clouseau is called in to catch the thief. The Inspector is convinced that 'The Phantom' has returned and utilises all of his resources Ì¢‰âÂ‰ÛÏ himself and his Asian manservant Ì¢‰âÂ‰ÛÏ to reveal the identity of 'The Phantom'.,113,6.6
The Love Guru,Mike Myers|Jessica Alba|Justin Timberlake|Romany Malco|Meagan Good,Marco Schnabel,Born in America and raised in an Indian ashram Pitka (Mike Myers) returns to his native land to seek his fortune as a spiritualist and self-help expert. His skills are put to the test when he must get a brokenhearted hockey player's marriage back on track in time for the man to help his team win the Stanley Cup.,87,4.5
Still Alice,Julianne Moore|Alec Baldwin|Kristen Stewart|Kate Bosworth|Shane McRae,Richard Glatzer|Wash Westmoreland,Alice Howland happily married with three grown children is a renowned linguistics professor who starts to forget words. When she receives a devastating diagnosis Alice and her family find their bonds tested.,99,7.5
Aliens vs Predator: Requiem,Steven Pasquale|Reiko Aylesworth|John Ortiz|Ariel Gade|Sam Trammell,Colin Strause|Greg Strause,A sequel to 2004's Alien vs. Predator the iconic creatures from two of the scariest film franchises in movie history wage their most brutal battle ever - in our own backyard. The small town of Gunnison Colorado becomes a war zone between two of the deadliest extra-terrestrial life forms - the Alien and the Predator. When a Predator scout ship crash-lands in the hills outside the town Alien Facehuggers and a hybrid Alien/Predator are released and begin to terrorize the town.,94,4.9
Casino Royale,David Niven|Peter Sellers|Ursula Andress|Orson Welles|Joanna Pettet,Val Guest|Ken Hughes|John Huston|Joseph McGrath|Robert Parrish,Sir James Bond is called back out of retirement to stop SMERSH. In order to trick SMERSH Bond thinks up the ultimate plan. That every agent will be named James Bond. One of the Bonds whose real name is Evelyn Tremble is sent to take on Le Chiffre in a game of baccarat but all the Bonds get more than they can handle especially when the ultimate villain turns out to be Bonds nephew.,131,5.4
Oh God!,John Denver|George Burns|Teri Garr|Donald Pleasence|Ralph Bellamy,Carl Reiner,When God appears to an assistant grocery manager as a good natured old man the Almighty selects him as his messenger for the modern world.,98,5.6
Cheech & Chong's Next Movie,Cheech Marin|Tommy Chong|Evelyn Guerrero|Betty Kennedy|Paul Reubens,Tommy Chong,"Perennially stoned Cheech and Chong tear through the city of Los Angeles causing trouble wherever they go. After Cheech loses his job the two pot enthusiasts head to the welfare offices where Cheech's girlfriend Donna works. Instead of collecting unemployment they find themselves thrown back on the streets searching for a way to earn new income. But when Cheech's cousin ""Red"" Mendoza arrives things get even crazier.",99,6.3
Mr. Brooks,Kevin Costner|Demi Moore|Dane Cook|William Hurt|Marg Helgenberger,Bruce A. Evans,A psychological thriller about a man who is sometimes controlled by his murder-and-mayhem-loving alter ego.,120,6.7
Never Back Down,Sean Faris|Amber Heard|Cam Gigandet|Djimon Hounsou|Evan Peters,Jeff Wadlow,Rebellious Jake Tyler is lured into an ultimate underground fight Scene at his new high school after receiving threats to the safety of his friends and family Jake decides to seek the mentoring of a veteran fighter who trains him for one final no-holds-barred elimination fight with his nemesis and local martial arts champion Ryan McCarthy.,115,6.5
The Uninvited,Emily Browning|Arielle Kebbel|David Strathairn|Elizabeth Banks|Maya Massar,Charles Guard|Thomas Guard,Anna returns home after spending time in a psychiatric facility following her mother's tragic death and discovers that her mother's former nurse Rachel has moved into their house and become engaged to her father. Soon after she learns this shocking news Anna is visited by her mother's ghost who warns her that Rachel has evil intentions.,87,6
Ronin,Robert De Niro|Jean Reno|Natascha McElhone|Stellan SkarsgÌÄå´rd|Sean Bean,John Frankenheimer,A briefcase with undisclosed contents Ì¢‰âÂ‰ÛÏ sought by Irish terrorists and the Russian mob Ì¢‰âÂ‰ÛÏ makes its way into criminals' hands. An Irish liaison assembles a squad of mercenaries or 'ronin' and gives them the thorny task of recovering the case.,122,6.6
Undercover Brother,Eddie Griffin|Chris Kattan|Denise Richards|Aunjanue Ellis|Chi McBride,Malcolm D. Lee,"An Afro-American organization the B.R.O.T.H.E.R.H.O.O.D. is in permanent fight against a white organization ""The Man"" defending the values of the black people in North America. When the Afro-American candidate Gen. Warren Boutwell behaves strangely in his presidential campaign Undercover Brother is hired to work undercover for ""The Man"" and find what happened with the potential candidate.",86,5.4
Orphan,Vera Farmiga|Peter Sarsgaard|Isabelle Fuhrman|CCH Pounder|Jimmy Bennett,Jaume Collet-Serra,A married couple with a rocky past adopt 9-year old Esther to fill the void created by a recently-stillborn baby. However Esther is not quite who she seems.,123,6.5
Up in Smoke,Cheech Marin|Tommy Chong|Strother Martin|Edie Adams|Harold Fong,Lou Adler,"An unemployed pot-smoking slacker and amateur drummer Anthony Stoner ditches his strict parents and hits the road eventually meeting kindred spirit Pedro de Pacas. While the drug-ingesting duo is soon arrested for possession of marijuana Anthony and Pedro get released on a technicality allowing them to continue their many misadventures and ultimately compete in a rock band contest where they perform the raucous tune ""Earache My Eye.""",86,6.5
Set  It Off,Jada Pinkett Smith|Queen Latifah|Vivica A. Fox|Kimberly Elise|Blair Underwood,F. Gary Gray,Four Black women all of whom have suffered for lack of money and at the hands of the majority undertake to rob banks. While initially successful a policeman who was involved in shooting one of the women's brothers is on their trail. As the women add to the loot their tastes and interests begin to change and their suspicions of each other increase on the way to a climactic robbery.,118,7
Wimbledon,Kirsten Dunst|Paul Bettany|Sam Neill|James McAvoy|Bernard Hill,Richard Loncraine,A pro tennis player has lost his ambition and has fallen in rank to 119. Fortunately for him he meets a young player on the women's circuit who helps him recapture his focus for Wimbledon.,98,5.7
Gremlins 2: The New Batch,Zach Galligan|Phoebe Cates|John Glover|Robert Prosky|Robert Picardo,Joe Dante,Young sweethearts Billy and Kate move to the Big Apple land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers making them even harder to destroy!,106,6.1
Gridiron Gang,Dwayne Johnson|Xzibit|L. Scott Caldwell|Leon Rippy|Kevin Dunn,Phil Joanou,Teenagers at a juvenile detention center under the leadership of their counselor gain self-esteem by playing football together.,125,6.5
Pale Rider,Clint Eastwood|Michael Moriarty|Carrie Snodgress|Chris Penn|Richard Dysart,Clint Eastwood,A small gold mining camp is terrorised by a ruthless land owner wanting to take their land. Clint Eastwood arrives riding a pale horse just as a young girl is praying to God to help the miners. He is revealed to be a preacher with mysterious and possible otherworldly origins who teams up with the miners to defeat the land owner and the corrupt sheriff.,115,6.8
Whale Rider,Keisha Castle-Hughes|Rawiri Paratene|Vicky Haughton|Cliff Curtis|Grant Roa,Niki Caro,On the east coast of New Zealand the Whangara people believe their presence there dates back a thousand years or more to a single ancestor Paikea who escaped death when his canoe capsized by riding to shore on the back of a whale. From then on Whangara chiefs always the first-born always male have been considered Paikea's direct descendants. Pai an 11-year-old girl in a patriarchal New Zealand tribe believes she is destined to be the new chief. But her grandfather Koro is bound by tradition to pick a male leader. Pai loves Koro more than anyone in the world but she must fight him and a thousand years of tradition to fulfill her destiny.,101,6.7
The Lady in the Van,Maggie Smith|Alex Jennings|Frances de la Tour|Gwen Taylor|Dominic Cooper,Nicholas Hytner,The true story of the relationship between Alan Bennett and the singular Miss Shepherd a woman of uncertain origins who Ì¢‰âÂèÏtemporarilyÌ¢‰âÂ‰ã¢ parked her van in BennettÌ¢‰âÂ‰ã¢s London driveway and proceeded to live there for 15 years.,104,5.9
Peggy Sue Got Married,Kathleen Turner|Nicolas Cage|Barry Miller|Catherine Hicks|Joan Allen,Francis Ford Coppola,Peggy Sue faints at a Highschool reunion. When she wakes up she finds herself in her own past just before she finished school.,103,5.7
Ricki and the Flash,Meryl Streep|Kevin Kline|Mamie Gummer|Sebastian Stan|Audra McDonald,Jonathan Demme,Meryl Streep stars as Ricki Rendazzo a guitar heroine who made a world of mistakes as she followed her dreams of rock-and-roll stardom. Returning home Ricki gets a shot at redemption and a chance to make things right as she faces the music with her family.,100,5.5
This Is Where I Leave You,Jason Bateman|Tina Fey|Adam Driver|Rose Byrne|Corey Stoll,Shawn Levy,When their father passes away four grown world-weary siblings return to their childhood home and are requested -- with an admonition -- to stay there together for a week along with their free-speaking mother (Jane Fonda) and a collection of spouses exes and might-have-beens. As the brothers and sisters re-examine their shared history and the status of each tattered relationship among those who know and love them best they reconnect in hysterically funny and emotionally significant ways.,103,6.5
Man of the Year,Robin Williams|Christopher Walken|Laura Linney|Lewis Black|Jeff Goldblum,Barry Levinson,The irreverent host of a political satire talk show decides to run for president and expose corruption in Washington. His stunt goes further than he expects when he actually wins the election but a software engineer suspects that a computer glitch is responsible for his surprising victory.,115,5.4
Private Parts,Howard Stern|Mary McCormack|Kelly Bishop|Paul Giamatti|Leslie Bibb,Betty Thomas,The auto-biographical story of Howard Stern the radio-rebel who is now also a TV-personality an author and a movie star.,109,6.6
A Walk to Remember,Mandy Moore|Shane West|Peter Coyote|Daryl Hannah|Lauren German,Adam Shankman,"When the popular restless Landon Carter is forced to participate in the school drama production he falls in love with Jamie Sullivan the daughter of the town's minister. Jamie has a ""to-do"" list for her life and also a very big secret she must keep from Landon.",101,7.3
Happy Gilmore,Adam Sandler|Christopher McDonald|Julie Bowen|Frances Bay|Carl Weathers,Dennis Dugan,Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile an attractive tour publicist tries to soften Happy's image.,92,6.4
Freedom Writers,Hilary Swank|Scott Glenn|Imelda Staunton|Patrick Dempsey|Mario,Richard LaGravenese,A young teacher inspires her class of at-risk students to learn tolerance apply themselves and pursue education beyond high school.,123,7.5
The French Connection,Gene Hackman|Fernando Rey|Roy Scheider|Tony Lo Bianco|Marcel Bozzuffi,William Friedkin,Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.,104,7
Balls of Fury,Dan Fogler|Christopher Walken|George Lopez|Maggie Q|James Hong,Ben Garant,Randy Daytona was a child ping pong prodigy who lost his chance at Olympic gold when his father is murdered by the mysterious Feng over a gambling debt. 15yrs later he's down on his luck and scraping a living doing seedy back room shows in Vegas; when the FBI turn up and ask for his help to take down Feng... who just happens to love Ping Pong.,90,5
Clash of the Titans,Laurence Olivier|Claire Bloom|Maggie Smith|Jack Gwillim|Harry Hamlin,Desmond Davis,To win the right to marry his love the beautiful princess Andromeda and fulfil his destiny Perseus must complete various tasks including taming Pegasus capturing Medusa's head and battling the Kraken monster.,118,6.7
Dredd,Karl Urban|Olivia Thirlby|Lena Headey|Wood Harris|Jason Cope,Pete Travis,In the future America is a dystopian wasteland. The latest scourge is Ma-Ma a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges who combine the duties of judge jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge Dredd discovers that taking down Ma-Ma isnÌ¢‰âÂ‰ã¢t as easy as it seems in this explosive adaptation of the hugely popular comic series.,95,6.5
John Tucker Must Die,Jesse Metcalfe|Brittany Snow|Sophia Bush|Arielle Kebbel|Ashanti,Betty Thomas,After discovering they are all dating the same same guy three popular students from different cliques band together for revenge so they enlist the help of a new gal in town and conspire to break the jerk's heart while destroying his reputation.,87,6
